from_id,to_id,travel_time
56,Dariush Shopping Center,24
56,Alghadir Commercial Complex,8
56,Iranian Shopping Center,15
57,City Star Shopping Center,12
57,Tejarat Tower of Qazvin,27
57,Narvan Shopping Center,33
57,Mehr o Mah,13
57,Abadgaran Shopping Center,13
57,Persian Gulf Tower,8
57,Alborz Commerical,13
57,Pars Commercial Complex,42
57,,53
57,Clothing and textiles section of Qazvin Bazaar,24
57,Noor Complex,29
57,Dariush Shopping Center,30
57,Alghadir Commercial Complex,12
57,Iranian Shopping Center,21
59,City Star Shopping Center,15
59,Tejarat Tower of Qazvin,20
59,Narvan Shopping Center,26
59,Mehr o Mah,17
59,Abadgaran Shopping Center,9
59,Persian Gulf Tower,18
59,Alborz Commerical,13
59,Pars Commercial Complex,34
59,,45
59,Clothing and textiles section of Qazvin Bazaar,11
59,Noor Complex,26
59,Dariush Shopping Center,25
59,Alghadir Commercial Complex,12
59,Iranian Shopping Center,20
60,City Star Shopping Center,8
60,Tejarat Tower of Qazvin,21
60,Narvan Shopping Center,28
60,Mehr o Mah,11
60,Abadgaran Shopping Center,4
60,Persian Gulf Tower,17
60,Alborz Commerical,12
60,Pars Commercial Complex,39
60,,52
60,Clothing and textiles section of Qazvin Bazaar,18
60,Noor Complex,24
60,Dariush Shopping Center,25
60,Alghadir Commercial Complex,11
60,Iranian Shopping Center,15
61,City Star Shopping Center,17
61,Tejarat Tower of Qazvin,21
61,Narvan Shopping Center,29
61,Mehr o Mah,18
61,Abadgaran Shopping Center,14
61,Persian Gulf Tower,23
61,Alborz Commerical,18
61,Pars Commercial Complex,29
61,,41
61,Clothing and textiles section of Qazvin Bazaar,8
61,Noor Complex,26
61,Dariush Shopping Center,25
61,Alghadir Commercial Complex,17
61,Iranian Shopping Center,21
62,City Star Shopping Center,25
62,Tejarat Tower of Qazvin,25
62,Narvan Shopping Center,36
62,Mehr o Mah,25
62,Abadgaran Shopping Center,22
62,Persian Gulf Tower,28
62,Alborz Commerical,24
62,Pars Commercial Complex,27
62,,37
62,Clothing and textiles section of Qazvin Bazaar,9
62,Noor Complex,31
62,Dariush Shopping Center,31
62,Alghadir Commercial Complex,23
62,Iranian Shopping Center,25
63,City Star Shopping Center,29
63,Tejarat Tower of Qazvin,29
63,Narvan Shopping Center,36
63,Mehr o Mah,29
63,Abadgaran Shopping Center,27
63,Persian Gulf Tower,32
63,Alborz Commerical,30
